"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"SAANICHTON CDA","BC"," 48°37'18.000"" N","123°25'08.000"" W","61.0 m","1016940","",""

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","4.8","5.3","7.1","9.3","12.2","14.9","17.0","17.1","14.6","10.3","6.6","4.5","10.3","A"
"Standard Deviation","1.4","1.3","1.1","0.9","1.0","0.9","1.0","0.7","0.8","0.7","1.6","1.3","1.2","A"
"Daily Maximum (°C)","7.4","8.4","10.5","13.3","16.6","19.5","22.1","22.3","19.3","13.9","9.4","7.0","14.1","A"
"Daily Minimum (°C)","2.2","2.2","3.6","5.2","7.8","10.3","11.9","11.9","9.8","6.7","3.8","1.9","6.4","A"
"Extreme Maximum (°C)","16.0","16.1","20.5","25.5","31.5","33.9","34.4","32.8","30.5","27.0","17.8","15.0","",""
"Date (yyyy/dd)","2005/19","1963/08","1994/28","1998/30","1983/28","1925/25","1941/16","1915/20","1987/01","1987/01","1949/02","1997/28",""," "
"Extreme Minimum (°C)","-13.3","-12.2","-8.9","-3.3","-1.1","2.2","3.3","4.4","1.7","-3.9","-12.2","-13.9","",""
"Date (yyyy/dd)","1950/14","1936/07","1955/05","1972/03","1976/30","1933/09","1922/08","1919/27","1972/27","1935/30","1955/15","1964/16",""," "
"Precipitation"
"Rainfall (mm)","136.9","85.4","77.4","51.5","41.5","34.7","20.5","26.5","29.6","92.6","155.0","134.7","886.3","C"
"Snowfall (cm)","8.1","4.1","1.9","0.0","0.0","0.0","0.0","0.0","0.0","0.4","0.8","6.7","22.0","C"
"Precipitation (mm)","145.1","89.6","79.3","51.5","41.5","34.7","20.5","26.5","29.6","93.0","155.8","141.3","908.2","C"
"Average Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","D"
"Median Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","D"
"Snow Depth at Month-end (cm)","0","0","0","0","0","0","0","0","0","0","1","0","0","C"
"Extreme Daily Rainfall (mm)","73.2","51.8","44.8","63.0","45.7","40.6","53.0","55.6","46.2","120.0","82.3","68.3","",""
"Date (yyyy/dd)","1935/21","1995/18","1997/18","1991/03","1948/27","1955/22","1993/19","1975/22","1924/22","2003/16","1955/02","1972/25",""," "
"Extreme Daily Snowfall (cm)","35.1","52.1","20.3","2.5","0.0","0.0","0.0","0.0","0.0","6.0","22.9","40.6","",""
"Date (yyyy/dd)","1935/20","1923/14","1960/03","1955/13","1914/01","1914/01","1914/01","1914/01","1914/01","1991/28","1937/13","1968/30",""," "
"Extreme Daily Precipitation (mm)","73.2","52.1","44.8","63.0","45.7","40.6","53.0","55.6","46.2","120.0","82.3","68.3","",""
"Date (yyyy/dd)","1935/21","1923/14","1997/18","1991/03","1948/27","1955/22","1993/19","1975/22","1924/22","2003/16","1955/02","1972/25",""," "
"Extreme Snow Depth (cm)","38","30","28","0","0","0","0","0","0","3","31","41","",""
"Date (yyyy/dd)","1969/01","1969/01","1962/04","1961/01","1961/01","1961/01","1961/01","1961/01","1961/01","1991/29","2006/27","1968/31",""," "
"Days with Maximum Temperature"
