x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,PERIOD,CURRENT_FLAG,NORMAL_CODE,NORMAL_ID,PUBLICATION_CODE,DATE_CALCULATED,FIRST_OCCURRENCE_DATE,PROVINCE_CODE,PERIOD_BEGIN,PERIOD_END,FIRST_YEAR,FIRST_YEAR_NORMAL_PERIOD,LAST_YEAR,LAST_YEAR_NORMAL_PERIOD,YEAR_COUNT_NORMAL_PERIOD,TOTAL_OBS_COUNT,OCCURRENCE_COUNT,MAX_DURATION_MISSING_YEARS,PERCENT_OF_POSSIBLE_OBS,E_NORMAL_ELEMENT_NAME,F_NORMAL_ELEMENT_NAME,MONTH,VALUE
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.1.1,NORM,Y,A,1,1,2013-03-05 17:36:32,,NL,1981,2010,,1981,,2010,30,930,,0,100,Mean daily temperature deg C,Température moyenne quotidienne en degree C,1,-4.51
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.2.1,NORM,Y,A,2,1,2013-03-05 17:36:32,,NL,1981,2010,,1981,,2010,30,930,,0,100,StdDev mean monthly temperature deg C,Écart-type de la température moyenne mensuelle en degree C,1,1.56
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.27.1,NORM,Y,A,27,1,2013-03-05 17:36:32,,NL,1981,2010,,1981,,2010,30,930,,0,100,Total degree-days Above 0 deg C,Total des degrés-jours supérieurs à 0 degree C,1,12.09
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.28.1,NORM,Y,A,28,1,2013-03-05 17:36:32,,NL,1981,2010,,1981,,2010,30,930,,0,100,Total degree-days below 0 deg C,Total des degrés-jours inférieurs à 0 degree C,1,151.81
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.29.1,NORM,Y,A,29,1,2013-03-05 17:36:32,,NL,1981,2010,,1981,,2010,30,930,,0,100,Total degree-days below 5 deg C,Total des degrés-jours inférieurs à 5 degree C,1,296.15
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.30.1,NORM,Y,A,30,1,2013-03-05 17:36:32,,NL,1981,2010,,1981,,2010,30,930,,0,100,Total degree-days below 10 deg C,Total des degrés-jours inférieurs à 10 degree C,1,449.74
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.31.1,NORM,Y,A,31,1,2013-03-05 17:36:32,,NL,1981,2010,,1981,,2010,30,930,,0,100,Total degree-days below 15 deg C,Total des degrés-jours inférieurs à 15 degree C,1,604.72
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.32.1,NORM,Y,A,32,1,2013-03-05 17:36:32,,NL,1981,2010,,1981,,2010,30,930,,0,100,Total degree-days below 18 deg C,Total des degrés-jours inférieurs à 18 degree C,1,697.72
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.33.1,NORM,Y,A,33,1,2013-03-05 17:36:32,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with daily max temperature LE 0 deg C,Jours avec température maximale quotidienne <= 0 degree C,1,19.1
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.34.1,NORM,Y,A,34,1,2013-03-05 17:36:32,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with daily max temperature GT 0 deg C,Jours avec température maximale quotidienne > 0 ºC,1,11.9
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.5.1,NORM,Y,A,5,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Mean daily max temperature deg C,Température maximale moyenne quotidienne en degree C,1,-0.79
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.8.1,NORM,Y,A,8,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Mean daily min temperature deg C,Température minimale moyenne quotidienne en degree C,1,-8.19
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.22.1,NORM,Y,A,22,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Total degree-days Above 24 deg C,Total des degrés-jours supérieurs à 24 degree C,1,0
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.23.1,NORM,Y,A,23,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Total degree-days Above 18 deg C,Total des degrés-jours supérieurs à 18 degree C,1,0
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.24.1,NORM,Y,A,24,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Total degree-days Above 15 deg C,Total des degrés-jours supérieurs à 15 degree C,1,0
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.25.1,NORM,Y,A,25,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Total degree-days Above 10 deg C,Total des degrés-jours supérieurs à 10 degree C,1,0.02
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.26.1,NORM,Y,A,26,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Total degree-days Above 5 deg C,Total des degrés-jours supérieurs à 5 degree C,1,1.43
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.35.1,NORM,Y,A,35,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with daily max temperature GT 10 deg C,Jours avec température maximale quotidienne > 10 degree C,1,0.93
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.36.1,NORM,Y,A,36,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with daily max temperature GT 20 deg C,Jours avec température maximale quotidienne > 20 degree C,1,0
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.37.1,NORM,Y,A,37,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with daily max temperature GT 30 deg C,Jours avec température maximale quotidienne > 30 degree C,1,0
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.38.1,NORM,Y,A,38,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with daily max temperature GT 35 deg C,Jours avec température maximale quotidienne > 35 degree C,1,0
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.39.1,NORM,Y,A,39,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with daily min temperature GT 0 deg C,Jours avec température minimale quotidienne > 0 degree C,1,1.03
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.40.1,NORM,Y,A,40,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with daily min temperature LE 2 deg C,Jours avec température minimale quotidienne <= 2 degree C,1,30.7
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.41.1,NORM,Y,A,41,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with daily min temperature LE 0 deg C,Jours avec température minimale quotidienne <= 0 degree C,1,29.97
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.42.1,NORM,Y,A,42,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with daily min temperature LT -2 deg C,Jours avec température minimale quotidienne < -2 degree C,1,28.07
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.43.1,NORM,Y,A,43,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with daily min temperature LT -10 deg C,Jours avec température minimale quotidienne < -10 degree C,1,11.27
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.44.1,NORM,Y,A,44,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with daily min temperature LT -20 deg C,Jours avec température minimale quotidienne < -20 degree C,1,0
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.45.1,NORM,Y,A,45,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with daily min temperature LT -30 deg C,Jours avec température minimale quotidienne < -30 degree C,1,0
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.52.1,NORM,Y,A,52,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Total rainfall mm,Quantité totale de pluie en mm,1,65.95
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.53.1,NORM,Y,A,53,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,StdDev total rainfall mm,Écart-type de la quantité totale de pluie en mm,1,32.98
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.54.1,NORM,Y,A,54,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Total snowfall cm,Quantité totale de neige en cm,1,88.69
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.55.1,NORM,Y,A,55,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,StdDev total snowfall cm,Écart-type de la quantité totale de neige en cm,1,40.07
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.56.1,NORM,Y,A,56,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Total precipitation mm,Précipitations totales en mm,1,149.18
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.57.1,NORM,Y,A,57,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,StdDev total precipitation mm,Écart-type des précipitations totales en mm,1,48.88
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.61.1,NORM,Y,A,61,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with rainfall GE 0.2 mm,"Jours avec chutes de pluie >= 0,2 mm",1,9.33
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.62.1,NORM,Y,A,62,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with rainfall GE 5 mm,Jours avec chutes de pluie >= 5 mm,1,4.27
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.63.1,NORM,Y,A,63,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with rainfall GE 10 mm,Jours avec chutes de pluie >= 10 mm,1,2.43
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.64.1,NORM,Y,A,64,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with rainfall GE 25 mm,Jours avec chutes de pluie >= 25 mm,1,0.43
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.65.1,NORM,Y,A,65,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with snowfall GE 0.2 cm,"Jours avec chutes de neige >= 0,2 cm",1,18.27
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.66.1,NORM,Y,A,66,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with snowfall GE 5 cm,Jours avec chutes de neige >= 5 cm,1,5.87
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.67.1,NORM,Y,A,67,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with snowfall GE 10 cm,Jours avec chutes de neige >= 10 cm,1,2.57
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.68.1,NORM,Y,A,68,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with snowfall GE 25 cm,Jours avec chutes de neige >= 25 cm,1,0.3
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.69.1,NORM,Y,A,69,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with precipitation GE 0.2 mm,"Jours avec précipitations >= 0,2 mm",1,21.83
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.70.1,NORM,Y,A,70,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with precipitation GE 5 mm,Jours avec précipitations >= 5 mm,1,9.1
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.71.1,NORM,Y,A,71,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with precipitation GE 10 mm,Jours avec précipitations >= 10 mm,1,5.33
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.72.1,NORM,Y,A,72,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with precipitation GE 25 mm,Jours avec précipitations >= 25 mm,1,0.83
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.73.1,NORM,Y,A,73,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Mean Daily Snow Depth cm,Épaisseur de la neige moyenne quotidienne en cm,1,18
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.74.1,NORM,Y,A,74,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Median Daily Snow Depth cm,Épaisseur de la neige médiane quotidienne en cm,1,14.63
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.76.1,NORM,Y,A,76,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with snow depth GE 1 cm,Jours avec épaisseur de la neige >= 1 cm,1,26.97
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.77.1,NORM,Y,A,77,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with snow depth GE 5 cm,Jours avec épaisseur de la neige >= 5 cm,1,21.4
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.78.1,NORM,Y,A,78,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with snow depth GE 10 cm,Jours avec épaisseur de la neige >= 10 cm,1,17.27
