"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*OTTAWA MACDONALD-CARTIER INT'L A","ON"," 45°19'21.000"" N"," 75°40'09.000"" W","114.0 m","6106000","71628","YOW"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-10.3","-8.1","-2.3","6.3","13.3","18.5","21.0","19.8","15.0","8.0","1.5","-6.2","6.4","A"
"Standard Deviation","3.4","2.5","2.3","1.7","1.8","1.3","1.1","1.2","1.4","1.4","1.7","3.0","0.8","A"
"Daily Maximum (°C)","-5.8","-3.4","2.5","11.6","19.0","24.1","26.5","25.3","20.4","12.7","5.4","-2.3","11.3","A"
"Daily Minimum (°C)","-14.8","-12.8","-7.0","1.0","7.5","12.9","15.5","14.3","9.6","3.3","-2.4","-10.1","1.4","A"
"Extreme Maximum (°C)","12.9","12.4","26.7","31.1","35.8","36.1","36.7","37.8","35.1","27.8","23.9","16.3","",""
"Date (yyyy/dd)","2005/13","2000/27","1946/29","1990/27","2010/26","1941/27","1955/21","1944/11","2002/09","1946/07","1938/06","1982/03",""," "
"Extreme Minimum (°C)","-35.6","-36.1","-30.6","-16.7","-5.6","-0.1","5.0","2.6","-3.0","-7.8","-21.7","-34.4","",""
"Date (yyyy/dd)","1957/15","1943/15","1950/03","1954/04","1966/07","1980/09","1946/15","1986/29","1980/29","1939/18","1940/29","1942/20",""," "
"Precipitation"
"Rainfall (mm)","25.0","18.7","31.1","63.0","80.1","92.8","91.9","85.5","90.1","82.2","64.5","33.5","758.2","A"
"Snowfall (cm)","53.9","43.3","38.3","11.3","0.2","0.0","0.0","0.0","0.0","3.7","20.2","52.5","223.5","A"
