Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-63.58,46.27,ALBANY,8300060,1984-08-01,1984,08,01,,26.0,,15.5,,20.8,,0.0,,2.8,,0.0,,0.0,,0.0,,,,,,,
-63.58,46.27,ALBANY,8300060,1984-08-02,1984,08,02,,25.0,,17.0,,21.0,,0.0,,3.0,,0.0,,0.0,,0.0,,,,,,,
-63.58,46.27,ALBANY,8300060,1984-08-03,1984,08,03,,26.0,,13.0,,19.5,,0.0,,1.5,,0.0,,0.0,,0.0,,,,,,,
-63.58,46.27,ALBANY,8300060,1984-08-04,1984,08,04,,27.0,,15.0,,21.0,,0.0,,3.0,,0.0,,0.0,,0.0,,,,,,,
-63.58,46.27,ALBANY,8300060,1984-08-05,1984,08,05,,27.0,,17.0,,22.0,,0.0,,4.0,,0.0,,0.0,,0.0,,,,,,,
-63.58,46.27,ALBANY,8300060,1984-08-06,1984,08,06,,29.5,,15.0,,22.3,,0.0,,4.3,,0.0,,0.0,,0.0,,,,,,,
-63.58,46.27,ALBANY,8300060,1984-08-07,1984,08,07,,29.0,,19.0,,24.0,,0.0,,6.0,,33.5,,0.0,,33.5,,,,,,,
-63.58,46.27,ALBANY,8300060,1984-08-08,1984,08,08,,22.5,,19.0,,20.8,,0.0,,2.8,,0.0,T,0.0,,0.0,T,,,,,,
-63.58,46.27,ALBANY,8300060,1984-08-09,1984,08,09,,27.0,,13.0,,20.0,,0.0,,2.0,,0.0,,0.0,,0.0,,,,,,,
-63.58,46.27,ALBANY,8300060,1984-08-10,1984,08,10,,25.5,,15.0,,20.3,,0.0,,2.3,,0.0,,0.0,,0.0,,,,,,,
