"Station Name","Province","Latitude","Longitude","Elevation","Climate ID","WMO Identifier","TC Identifier"
"(AE) BOW SUMMIT","ALBERTA","51.70","-116.47","2080.00","3050PPF","",""
"100 MILE HOUSE","BRITISH COLUMBIA","51.65","-121.27","929.60","1095790","",""
"100 MILE HOUSE","BRITISH COLUMBIA","51.65","-121.30","1059.20","1165791","",""
"100 MILE HOUSE 6NE","BRITISH COLUMBIA","51.68","-121.22","928.00","1165793","",""
"108 MILE HOUSE","BRITISH COLUMBIA","51.75","-121.33","957.10","1095796","",""
"108 MILE HOUSE ABEL LAKE","BRITISH COLUMBIA","51.62","-121.26","1005.00","109E7R6","",""
"108 MILE HOUSE WATSON LAKE","BRITISH COLUMBIA","51.70","-121.33","890.00","116N7R6","",""
"150 MILE HOUSE","BRITISH COLUMBIA","52.12","-121.93","737.60","1095820","",""
"150 MILE HOUSE 7N","BRITISH COLUMBIA","52.22","-122.00","883.90","1095821","",""
"26 MILE DEPOT","NEWFOUNDLAND","48.42","-57.07","266.70","8403990","",""
"70 MILE HOUSE","BRITISH COLUMBIA","51.30","-121.40","1079.90","1167191","",""
"ABBEY","SASKATCHEWAN","50.70","-108.78","694.90","4020020","",""
"ABBOTSFORD","BRITISH COLUMBIA","49.02","-122.33","","1100015","",""
"ABBOTSFORD A","BRITISH COLUMBIA","49.03","-122.36","59.10","1100030","71108","YXX"
"ABBOTSFORD A","BRITISH COLUMBIA","49.03","-122.36","59.10","1100031","71108","YXX"
"ABBOTSFORD A","BRITISH COLUMBIA","49.03","-122.36","59.10","1100032","","YXX"
"ABBOTSFORD EAST","BRITISH COLUMBIA","49.03","-122.25","7.60","1100035","",""
"ABBOTSFORD KING ROAD","BRITISH COLUMBIA","49.03","-122.30","61.00","1100037","",""
"ABBOTSFORD UPPER SUMAS","BRITISH COLUMBIA","49.05","-122.27","9.10","1100040","",""
"ABEE AGDM","ALBERTA","54.28","-112.97","664.00","3010010","71285","XAF"
"ABERCORN","QUEBEC","45.03","-72.67","149.40","7020040","",""
"ABERCROMBIE POINT","NOVA SCOTIA","45.65","-62.72","10.70","8200015","",""
"ABERDEEN","SASKATCHEWAN","52.40","-106.17","518.20","4050037","",""
"ABERFELDIE","BRITISH COLUMBIA","49.50","-115.37","804.70","1150060","",""
"ABITIBI CAMP 11","ONTARIO","48.85","-89.12","491.00","6040011","",""
"ABITIBI CAMP 11","ONTARIO","48.93","-89.35","442.00","6040010","",""
"ABITIBI CAMP 228","ONTARIO","48.93","-89.25","472.40","6040018","",""
"ABITIBI CAMP 230","ONTARIO","49.35","-89.37","457.20","6040020","",""
"ABITIBI CAMP 300","ONTARIO","49.63","-89.75","426.70","6040022","",""
"ABITIBI CANYON","ONTARIO","49.88","-81.57","204.20","6070027","",""
"ABITIBI POST","QUEBEC","48.72","-79.37","259.10","7090050","",""
"ACADIA FOREST EXP ST","NEW BRUNSWICK","45.99","-66.36","54.00","8100100","",""
"ACADIA VALLEY","ALBERTA","51.18","-110.23","732.00","3020018","",""
"ACADIA VALLEY","ALBERTA","51.07","-110.32","735.00","3020035","71048","PAC"
"ACADIA VALLEY CDA EPF","ALBERTA","51.07","-110.13","","3020022","",""
"ACADIA VALLEY EXP ST","ALBERTA","51.08","-110.28","712.90","3020020","",""
"ACADIA VALLEY MACTAVISH","ALBERTA","51.20","-110.17","743.70","3020025","",""
"ACADIA VALLEY VANDYNE","ALBERTA","51.03","-110.30","708.60","3020031","",""
"ACADIEVILLE","NEW BRUNSWICK","46.73","-65.28","61.00","8100105","",""
"ACME CDA EPF","ALBERTA","51.50","-113.42","905.00","3020040","",""
"ACTIVE PASS","BRITISH COLUMBIA","48.87","-123.28","4.00","1010066","",""
"ACTON BEARDMORE","ONTARIO","43.63","-80.03","320.00","6150039","",""
"ACTON MONITOR STN","ONTARIO","43.65","-80.05","411.50","6140041","",""
"ACTON VALE","QUEBEC","45.65","-72.57","94.50","7020055","",""
"ADAIR LO","ALBERTA","59.17","-118.33","365.80","3070043","",""
"ADAMS CREEK LO","ALBERTA","53.72","-118.57","2209.80","3060045","",""
"ADAMS LAKE SKWAAM BAY","BRITISH COLUMBIA","51.08","-119.80","457.20","1160075","",""
"ADDENBROKE ISLAND","BRITISH COLUMBIA","51.60","-127.86","21.30","1060080","","WCZ"
"ADEN","ALBERTA","49.05","-111.32","1036.30","3040049","",""
"ADRA","BRITISH COLUMBIA","49.73","-119.58","1002.50","1120090","",""
